"Outcome","N","Q1 Mean","Q2 Mean","Q3 Mean","Q4 Mean","Weight velocity (kg/month) Month 3 to Year 1, 
Quartile 2: [0.22, 0.27) vs. Quartile 1: <0.22"," "," "," ","Weight velocity (kg/month) Month 3 to Year 1, 
Quartile 3: [0.27, 0.34) vs. Quartile 1: <0.22"," "," "," ","Weight velocity (kg/month) Month 3 to Year 1, 
Quartile 4: >=0.34 vs. Quartile 1: <0.22"," "," "," "
" "," "," "," "," "," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," "
" "," "," "," "," "," ","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value"
"T/S Ratio Year 1","415","1.44","1.44","1.47","1.41","-0.01 (-0.07, 0.06)","0.8","0.03 (-0.03, 0.09)","0.31","0.02 (-0.05, 0.1)","0.56","0.07 (-0.06, 0.21)","0.3","-0.03 (-0.1, 0.04)","0.39","0.03 (-0.04, 0.1)","0.42"
"T/S Ratio Year 2","392","1.46","1.46","1.46","1.42","0 (-0.07, 0.08)","0.93","0.06 (0, 0.12)","0.06","0 (-0.07, 0.08)","0.9","0.14 (0.06, 0.21)","0","-0.04 (-0.11, 0.03)","0.27","0.03 (-0.03, 0.08)","0.34"
