"Outcome","N","Q1 Mean","Q2 Mean","Q3 Mean","Q4 Mean","Head circumference velocity (cm/month) Month 3 to Year 1, 
Quartile 2: [0.41, 0.51) vs. Quartile 1: <0.41"," "," "," ","Head circumference velocity (cm/month) Month 3 to Year 1, 
Quartile 3: [0.51, 0.63) vs. Quartile 1: <0.41"," "," "," ","Head circumference velocity (cm/month) Month 3 to Year 1, 
Quartile 4: >=0.63 vs. Quartile 1: <0.41"," "," "," "
" "," "," "," "," "," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," "
" "," "," "," "," "," ","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value"
"T/S Ratio Year 1","415","1.47","1.43","1.44","1.42","-0.03 (-0.1, 0.04)","0.36","-0.01 (-0.1, 0.07)","0.75","-0.02 (-0.09, 0.05)","0.52","0.02 (-0.03, 0.08)","0.39","-0.05 (-0.12, 0.02)","0.16","-0.11 (-0.15, -0.07)","0"
"T/S Ratio Year 2","392","1.48","1.43","1.45","1.43","-0.06 (-0.13, 0.01)","0.11","-0.09 (-0.15, -0.02)","0.01","-0.03 (-0.11, 0.05)","0.44","0.01 (-0.12, 0.14)","0.88","-0.05 (-0.13, 0.02)","0.17","-0.11 (-0.17, -0.05)","0"
