"Outcome","N","Q1 Mean","Q2 Mean","Q3 Mean","Q4 Mean","Weight velocity (kg/month) Month 3 to Year 2, 
Quartile 2: [0.18, 0.21) vs. Quartile 1: <0.18"," "," "," ","Weight velocity (kg/month) Month 3 to Year 2, 
Quartile 3: [0.21, 0.24) vs. Quartile 1: <0.18"," "," "," ","Weight velocity (kg/month) Month 3 to Year 2, 
Quartile 4: >=0.24 vs. Quartile 1: <0.18"," "," "," "
" "," "," "," "," "," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," "
" "," "," "," "," "," ","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value"
"T/S Ratio Year 2","424","1.49","1.42","1.46","1.44","-0.07 (-0.14, 0)","0.07","-0.04 (-0.1, 0.02)","0.19","-0.03 (-0.1, 0.04)","0.41","0 (-0.07, 0.07)","0.98","-0.05 (-0.12, 0.02)","0.16","-0.02 (-0.07, 0.03)","0.43"
