"Outcome","N","Q1 Mean","Q2 Mean","Q3 Mean","Q4 Mean","WAZ Month 3, 
Quartile 2: [-1.84, -1.18) vs. Quartile 1: <-1.84"," "," "," ","WAZ Month 3, 
Quartile 3: [-1.18, -0.5) vs. Quartile 1: <-1.84"," "," "," ","WAZ Month 3, 
Quartile 4: >=-0.5 vs. Quartile 1: <-1.84"," "," "," "
" "," "," "," "," "," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," "
" "," "," "," "," "," ","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value"
"T/S Ratio Year 1","414","1.43","1.46","1.41","1.44","0.03 (-0.03, 0.09)","0.35","0.02 (-0.04, 0.08)","0.53","-0.02 (-0.08, 0.04)","0.54","-0.02 (-0.09, 0.04)","0.48","0.01 (-0.05, 0.07)","0.77","0 (-0.07, 0.07)","0.98"
"T/S Ratio Year 2","423","1.42","1.47","1.48","1.43","0.06 (-0.01, 0.12)","0.1","0.05 (-0.01, 0.11)","0.1","0.06 (-0.01, 0.14)","0.08","0.03 (-0.04, 0.11)","0.42","0.01 (-0.05, 0.07)","0.82","-0.03 (-0.09, 0.03)","0.31"
