"Outcome","N","Q1 Mean","Q2 Mean","Q3 Mean","Q4 Mean","Length velocity (cm/month) Month 3 to Year 2, 
Quartile 2: [0.97, 1.06) vs. Quartile 1: <0.97"," "," "," ","Length velocity (cm/month) Month 3 to Year 2, 
Quartile 3: [1.06, 1.17) vs. Quartile 1: <0.97"," "," "," ","Length velocity (cm/month) Month 3 to Year 2, 
Quartile 4: >=1.17 vs. Quartile 1: <0.97"," "," "," "
" "," "," "," "," "," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," "
" "," "," "," "," "," ","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value"
"T/S Ratio Year 2","424","1.44","1.47","1.46","1.43","0.03 (-0.04, 0.1)","0.37","0.07 (0, 0.14)","0.05","0.02 (-0.04, 0.09)","0.47","0.07 (0.01, 0.14)","0.02","-0.01 (-0.07, 0.06)","0.87","0.12 (0.06, 0.17)","0"
