"Outcome","N","Q1 Mean","Q2 Mean","Q3 Mean","Q4 Mean","Length velocity (cm/month) Year 1 to 2, 
Quartile 2: [0.71, 0.78) vs. Quartile 1: <0.71"," "," "," ","Length velocity (cm/month) Year 1 to 2, 
Quartile 3: [0.78, 0.85) vs. Quartile 1: <0.71"," "," "," ","Length velocity (cm/month) Year 1 to 2, 
Quartile 4: >=0.85 vs. Quartile 1: <0.71"," "," "," "
" "," "," "," "," "," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," "
" "," "," "," "," "," ","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value"
"T/S Ratio Year 2","617","1.46","1.44","1.43","1.46","-0.02 (-0.07, 0.03)","0.42","-0.02 (-0.07, 0.04)","0.53","-0.02 (-0.08, 0.03)","0.43","-0.04 (-0.09, 0.02)","0.19","0 (-0.05, 0.05)","0.99","0.01 (-0.04, 0.07)","0.62"
