"","name","Outcome","N","10th Percentile","90th Percentile"," Outcome, 90th Percentile v. 10th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 10th Percentile","Predicted Outcome at 90th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 10th Percentile","Predicted Outcome at 90th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Telomere length at Year 1","LAZ Year 1","660","1.17","1.7","-1.46","-1.15","0.31 (0.11, 0.5)","0","0","-1.54","-1.31","0.23 (0.05, 0.42)","0.01","0.01"
"4","","WAZ Year 1","662","1.17","1.7","-1.22","-1.13","0.09 (-0.12, 0.3)","0.42","0.42","-1.21","-1.2","0.01 (-0.2, 0.23)","0.91","0.91"
"5","","WLZ Year 1","660","1.17","1.7","-0.71","-0.81","-0.1 (-0.3, 0.1)","0.34","0.34","-0.68","-0.83","-0.16 (-0.36, 0.05)","0.14","0.14"
"6","","HCZ Year 1","660","1.17","1.7","-1.76","-1.75","0 (-0.18, 0.19)","0.97","0.97","-1.82","-1.81","0.01 (-0.18, 0.2)","0.94","0.94"
"7","","LAZ Year 2","580","1.17","1.7","-1.45","-1.24","0.21 (0.03, 0.39)","0.02","0.03","-1.51","-1.45","0.06 (-0.04, 0.16)","0.22","0.34"
"8","","WAZ Year 2","582","1.17","1.7","-1.48","-1.44","0.04 (-0.14, 0.21)","0.69","0.69","-1.77","-1.7","0.07 (-0.03, 0.17)","0.18","0.45"
"9","","WLZ Year 2","580","1.17","1.7","-0.92","-1.04","-0.12 (-0.29, 0.04)","0.15","0.18","-0.99","-1.01","-0.03 (-0.14, 0.09)","0.68","0.68"
"10","","HCZ Year 2","580","1.17","1.7","-1.77","-1.8","-0.03 (-0.21, 0.14)","0.72","0.73","-1.85","-1.81","0.04 (-0.18, 0.25)","0.73","0.98"
"11","","Change in LAZ between Year 1 and Year 2","580","1.17","1.7","-0.01","-0.07","-0.06 (-0.15, 0.03)","0.21","0.41","-0.23","-0.28","-0.05 (-0.14, 0.04)","0.29","0.59"
"12","","Change in WAZ between Year 1 and Year 2","582","1.17","1.7","-0.26","-0.27","-0.01 (-0.11, 0.09)","0.79","0.79","-0.37","-0.38","0 (-0.11, 0.1)","0.94","0.98"
"13","","Change in WLZ between Year 1 and Year 2","580","1.17","1.7","-0.27","-0.25","0.02 (-0.11, 0.15)","0.79","0.79","-0.24","-0.2","0.04 (-0.09, 0.17)","0.56","0.93"
"14","","Change in HCZ between Year 1 and Year 2","578","1.17","1.7","-0.04","-0.04","0 (0, 0)","1","1","-0.16","-0.11","0.06 (-0.05, 0.17)","0.31","0.39"
"15","","Length velocity between Year 1 and Year 2","580","1.17","1.7","0.8","0.81","0.01 (-0.01, 0.03)","0.5","0.5","0.8","0.8","0 (-0.02, 0.03)","0.79","0.79"
"16","","Weight velocity between Year 1 and Year 2","582","1.17","1.7","0.15","0.15","0 (-0.01, 0.01)","0.6","0.6","0.15","0.15","0 (-0.01, 0.01)","0.74","0.74"
"17","","Head circumference velocity between Year 1 and Year 2","580","1.17","1.7","0.14","0.15","0.01 (0, 0.02)","0.13","0.27","0.15","0.16","0.01 (0, 0.02)","0.13","0.26"
